Customer Type,Type of Travel,Class,Flight Distance,Inflight wifi service,Ease of Online booking,Online boarding,Seat comfort,Inflight entertainment,satisfaction
Loyal Customer,Business travel,Business,2891,5,5,2,1,5,satisfied
Loyal Customer,Personal Travel,Eco,1139,2,3,3,4,4,neutral or dissatisfied
Loyal Customer,Business travel,Business,762,5,5,4,4,4,satisfied
Loyal Customer,Business travel,Eco,671,3,1,3,3,3,neutral or dissatisfied
Loyal Customer,Business travel,Business,3013,1,1,5,5,5,satisfied
Loyal Customer,Personal Travel,Eco,641,4,4,4,3,3,neutral or dissatisfied
Loyal Customer,Business travel,Business,1597,5,5,4,4,4,satisfied
Loyal Customer,Business travel,Eco Plus,2562,4,1,4,4,4,satisfied
Loyal Customer,Business travel,Business,1205,3,4,4,4,3,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,296,3,2,2,5,5,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,449,2,3,3,2,2,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,546,4,4,1,5,3,neutral or dissatisfied
Loyal Customer,Business travel,Business,351,2,2,5,5,5,satisfied
Loyal Customer,Business travel,Business,295,0,0,4,4,1,satisfied
Loyal Customer,Personal Travel,Eco,1056,3,3,3,2,2,neutral or dissatisfied
disloyal Customer,Business travel,Eco,370,1,1,1,3,3,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,1726,3,2,2,2,2,neutral or dissatisfied
Loyal Customer,Business travel,Business,2014,3,1,3,3,3,neutral or dissatisfied
Loyal Customer,Business travel,Business,1389,3,3,5,5,4,satisfied
Loyal Customer,Personal Travel,Eco,584,2,2,2,2,2,neutral or dissatisfied
Loyal Customer,Business travel,Business,3561,3,3,4,4,4,satisfied
disloyal Customer,Business travel,Eco,577,1,1,1,1,1,neutral or dissatisfied
Loyal Customer,Business travel,Eco,2565,3,3,3,3,3,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,319,0,0,0,3,3,satisfied
disloyal Customer,Business travel,Eco,425,5,5,5,2,2,satisfied
disloyal Customer,Business travel,Eco,1131,2,3,3,5,3,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco Plus,603,3,3,3,4,5,neutral or dissatisfied
disloyal Customer,Business travel,Eco,1134,4,4,1,1,2,satisfied
Loyal Customer,Business travel,Business,1576,2,3,2,2,2,neutral or dissatisfied
Loyal Customer,Business travel,Business,1752,4,1,4,4,4,neutral or dissatisfied
Loyal Customer,Business travel,Business,2446,5,4,5,5,4,satisfied
Loyal Customer,Personal Travel,Eco,2402,4,4,4,4,5,neutral or dissatisfied
disloyal Customer,Business travel,Business,1020,4,4,4,1,1,satisfied
Loyal Customer,Personal Travel,Eco,925,4,4,4,3,3,satisfied
Loyal Customer,Business travel,Business,594,1,5,5,4,5,satisfied
Loyal Customer,Business travel,Business,1092,2,5,2,2,2,neutral or dissatisfied
Loyal Customer,Business travel,Business,507,2,2,2,2,2,neutral or dissatisfied
Loyal Customer,Business travel,Business,3697,4,4,4,5,5,satisfied
Loyal Customer,Business travel,Business,872,5,3,5,4,4,satisfied
Loyal Customer,Business travel,Business,2965,1,1,5,5,5,satisfied
Loyal Customer,Business travel,Business,1189,2,2,4,3,3,satisfied
Loyal Customer,Business travel,Eco,73,5,1,5,5,5,satisfied
Loyal Customer,Business travel,Business,1784,1,2,5,5,5,satisfied
Loyal Customer,Business travel,Business,370,4,4,5,5,4,satisfied
Loyal Customer,Personal Travel,Eco,1546,3,4,4,5,5,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,73,3,0,0,4,4,neutral or dissatisfied
disloyal Customer,Business travel,Business,919,5,5,5,2,2,satisfied
Loyal Customer,Business travel,Business,2928,3,2,4,4,5,satisfied
Loyal Customer,Business travel,Eco Plus,1024,4,4,4,4,4,satisfied
Loyal Customer,Business travel,Business,2107,3,3,4,4,4,satisfied
Loyal Customer,Business travel,Eco,335,3,4,3,3,3,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,862,3,3,3,5,5,neutral or dissatisfied
Loyal Customer,Business travel,Business,3042,2,2,5,5,4,satisfied
Loyal Customer,Business travel,Eco,86,1,2,3,3,2,neutral or dissatisfied
Loyal Customer,Business travel,Business,3192,1,2,1,2,1,neutral or dissatisfied
disloyal Customer,Business travel,Eco,427,4,4,4,5,5,neutral or dissatisfied
Loyal Customer,Business travel,Eco Plus,585,4,1,4,3,4,satisfied
Loyal Customer,Personal Travel,Eco,345,5,5,5,1,1,satisfied
Loyal Customer,Personal Travel,Eco,959,2,2,2,1,1,neutral or dissatisfied
disloyal Customer,Business travel,Eco,605,5,5,5,3,3,satisfied
disloyal Customer,Business travel,Business,473,2,2,2,2,2,neutral or dissatisfied
Loyal Customer,Business travel,Business,1670,5,5,2,2,2,satisfied
Loyal Customer,Business travel,Business,937,2,2,5,5,5,satisfied
Loyal Customer,Business travel,Business,109,2,5,3,4,3,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,1050,4,4,4,3,3,neutral or dissatisfied
disloyal Customer,Business travel,Business,911,4,4,4,2,2,satisfied
Loyal Customer,Personal Travel,Eco,570,4,4,4,1,1,satisfied
Loyal Customer,Business travel,Business,2588,2,4,4,4,5,satisfied
disloyal Customer,Business travel,Business,216,5,5,0,2,2,satisfied
Loyal Customer,Business travel,Business,116,2,2,5,5,4,satisfied
Loyal Customer,Business travel,Business,258,5,4,4,4,4,satisfied
Loyal Customer,Business travel,Business,583,1,1,4,4,4,satisfied
Loyal Customer,Business travel,Business,3196,3,1,3,3,3,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,1927,3,3,3,2,2,neutral or dissatisfied
Loyal Customer,Business travel,Business,2530,4,4,4,4,4,satisfied
Loyal Customer,Business travel,Business,3247,2,2,4,4,4,satisfied
Loyal Customer,Business travel,Business,1757,2,2,5,5,5,satisfied
Loyal Customer,Business travel,Business,3383,1,1,5,4,4,satisfied
Loyal Customer,Business travel,Business,1984,1,4,4,5,4,satisfied
Loyal Customer,Business travel,Business,1591,5,5,4,4,5,satisfied
Loyal Customer,Business travel,Business,471,5,5,5,5,4,satisfied
Loyal Customer,Personal Travel,Eco,1124,3,3,3,4,4,neutral or dissatisfied
Loyal Customer,Business travel,Eco Plus,550,1,4,1,1,1,neutral or dissatisfied
Loyal Customer,Business travel,Business,493,3,3,3,4,3,neutral or dissatisfied
Loyal Customer,Business travel,Business,2765,4,4,4,4,5,satisfied
Loyal Customer,Personal Travel,Eco,590,3,3,3,1,1,neutral or dissatisfied
Loyal Customer,Business travel,Business,1464,5,5,4,5,4,satisfied
Loyal Customer,Personal Travel,Eco,780,2,2,5,4,3,neutral or dissatisfied
Loyal Customer,Business travel,Business,721,4,4,5,4,5,satisfied
Loyal Customer,Personal Travel,Eco,316,1,1,1,4,4,neutral or dissatisfied
Loyal Customer,Business travel,Business,2565,2,2,4,4,3,satisfied
Loyal Customer,Business travel,Business,2176,4,5,3,3,3,neutral or dissatisfied
disloyal Customer,Business travel,Eco,397,2,2,2,5,5,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,438,1,1,5,5,3,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,1045,1,1,1,1,1,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,2454,4,4,1,1,4,neutral or dissatisfied
Loyal Customer,Business travel,Business,1846,3,3,4,5,4,satisfied
disloyal Customer,Business travel,Eco,247,2,2,2,3,3,neutral or dissatisfied
Loyal Customer,Business travel,Business,2039,3,3,5,5,2,satisfied
disloyal Customer,Business travel,Eco,1045,3,4,4,2,2,neutral or dissatisfied
Loyal Customer,Business travel,Eco Plus,371,2,1,4,3,2,neutral or dissatisfied
Loyal Customer,Business travel,Business,228,3,3,2,3,5,satisfied
Loyal Customer,Business travel,Business,2196,2,1,3,4,3,neutral or dissatisfied
disloyal Customer,Business travel,Business,1182,5,5,5,2,2,satisfied
Loyal Customer,Business travel,Business,666,3,3,5,4,4,satisfied
Loyal Customer,Business travel,Eco Plus,529,2,4,2,2,2,neutral or dissatisfied
Loyal Customer,Business travel,Business,3396,3,4,3,3,3,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,980,2,2,2,5,5,neutral or dissatisfied
Loyal Customer,Business travel,Business,164,1,1,5,5,4,satisfied
Loyal Customer,Business travel,Eco,306,5,4,5,5,5,satisfied
Loyal Customer,Personal Travel,Eco,1123,4,4,4,2,2,neutral or dissatisfied
Loyal Customer,Business travel,Business,2383,2,2,4,5,5,satisfied
Loyal Customer,Business travel,Eco Plus,899,2,3,4,3,2,neutral or dissatisfied
Loyal Customer,Business travel,Business,2328,4,4,4,2,4,satisfied
Loyal Customer,Business travel,Business,3221,5,5,4,5,4,satisfied
Loyal Customer,Business travel,Business,946,2,3,4,4,5,satisfied
Loyal Customer,Business travel,Business,391,1,1,5,4,5,satisfied
Loyal Customer,Business travel,Business,3381,3,3,5,5,2,satisfied
disloyal Customer,Business travel,Eco,802,2,2,2,3,3,neutral or dissatisfied
disloyal Customer,Business travel,Eco,641,4,4,4,2,2,neutral or dissatisfied
Loyal Customer,Business travel,Eco,438,5,2,5,5,5,satisfied
Loyal Customer,Personal Travel,Eco,250,3,3,3,1,4,neutral or dissatisfied
Loyal Customer,Business travel,Eco,491,4,5,5,2,4,satisfied
Loyal Customer,Business travel,Business,1572,2,2,4,5,5,satisfied
disloyal Customer,Business travel,Business,305,5,5,5,2,2,satisfied
Loyal Customer,Business travel,Eco,927,2,4,2,2,2,neutral or dissatisfied
Loyal Customer,Business travel,Business,2559,0,0,4,5,2,satisfied
Loyal Customer,Personal Travel,Eco,250,2,2,5,5,4,neutral or dissatisfied
Loyal Customer,Personal Travel,Business,295,1,1,1,2,4,neutral or dissatisfied
Loyal Customer,Business travel,Business,1846,4,4,5,4,5,satisfied
Loyal Customer,Personal Travel,Eco,222,2,2,2,1,1,neutral or dissatisfied
Loyal Customer,Personal Travel,Business,248,2,0,0,5,5,neutral or dissatisfied
Loyal Customer,Business travel,Business,1089,5,5,4,5,4,satisfied
Loyal Customer,Personal Travel,Eco,1956,4,4,4,5,5,neutral or dissatisfied
disloyal Customer,Business travel,Business,189,3,2,3,4,4,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,436,4,4,4,5,5,satisfied
Loyal Customer,Personal Travel,Eco,594,2,2,4,2,5,neutral or dissatisfied
disloyal Customer,Business travel,Business,528,1,1,1,4,4,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,594,4,4,4,2,2,neutral or dissatisfied
disloyal Customer,Business travel,Business,2039,1,1,1,2,5,neutral or dissatisfied
Loyal Customer,Business travel,Business,519,5,5,5,1,5,satisfied
Loyal Customer,Personal Travel,Eco,1773,2,2,2,1,1,neutral or dissatisfied
Loyal Customer,Business travel,Eco Plus,214,0,0,0,2,2,satisfied
Loyal Customer,Personal Travel,Eco,129,2,2,2,5,5,neutral or dissatisfied
Loyal Customer,Business travel,Business,2448,3,3,4,5,4,satisfied
Loyal Customer,Business travel,Business,3171,5,5,4,5,3,satisfied
Loyal Customer,Business travel,Business,302,3,3,1,2,4,satisfied
Loyal Customer,Business travel,Eco,1046,1,0,3,4,4,neutral or dissatisfied
Loyal Customer,Business travel,Business,3698,1,1,4,4,4,satisfied
Loyal Customer,Business travel,Eco,402,2,4,2,1,1,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,2475,2,2,3,3,3,neutral or dissatisfied
disloyal Customer,Business travel,Business,1145,0,0,0,3,3,satisfied
Loyal Customer,Business travel,Business,3802,5,3,4,5,5,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,711,2,2,2,4,4,neutral or dissatisfied
Loyal Customer,Business travel,Business,2626,5,5,4,5,5,satisfied
Loyal Customer,Personal Travel,Eco,456,1,1,1,1,2,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,1009,1,1,4,4,1,neutral or dissatisfied
Loyal Customer,Business travel,Business,2176,3,3,4,5,3,satisfied
Loyal Customer,Business travel,Eco,627,2,2,2,2,2,neutral or dissatisfied
Loyal Customer,Business travel,Eco,106,4,2,4,4,4,satisfied
Loyal Customer,Business travel,Business,3380,3,3,5,4,5,satisfied
Loyal Customer,Business travel,Business,236,2,2,3,1,4,satisfied
disloyal Customer,Business travel,Eco,259,3,3,3,3,3,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,296,0,0,0,2,2,satisfied
Loyal Customer,Business travel,Business,606,3,3,4,4,4,satisfied
Loyal Customer,Business travel,Business,264,1,2,2,1,1,neutral or dissatisfied
Loyal Customer,Business travel,Business,3709,4,4,4,4,4,satisfied
Loyal Customer,Business travel,Business,306,0,0,4,4,3,satisfied
Loyal Customer,Business travel,Business,1670,5,5,4,5,4,satisfied
Loyal Customer,Business travel,Eco,156,5,5,4,4,4,satisfied
Loyal Customer,Business travel,Business,2311,2,2,4,4,5,satisfied
disloyal Customer,Business travel,Eco,133,4,5,5,3,3,satisfied
disloyal Customer,Business travel,Eco,978,2,2,2,3,3,neutral or dissatisfied
Loyal Customer,Business travel,Eco,1235,4,5,4,4,4,satisfied
Loyal Customer,Business travel,Business,3322,1,4,4,5,4,satisfied
Loyal Customer,Personal Travel,Eco,511,4,4,5,5,3,satisfied
Loyal Customer,Business travel,Business,1416,1,1,3,4,1,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,130,2,2,2,2,2,neutral or dissatisfied
Loyal Customer,Business travel,Business,344,1,5,4,4,1,neutral or dissatisfied
disloyal Customer,Business travel,Business,1726,4,4,4,2,2,satisfied
Loyal Customer,Personal Travel,Eco,680,3,3,3,2,2,neutral or dissatisfied
disloyal Customer,Business travel,Business,191,5,5,5,2,2,satisfied
Loyal Customer,Personal Travel,Eco,1005,3,3,3,2,5,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,726,0,0,0,4,4,satisfied
Loyal Customer,Business travel,Business,1691,5,3,4,5,4,satisfied
Loyal Customer,Business travel,Business,624,5,5,4,5,3,satisfied
Loyal Customer,Personal Travel,Eco,666,3,3,3,3,3,neutral or dissatisfied
Loyal Customer,Business travel,Business,1837,1,1,4,3,4,satisfied
Loyal Customer,Business travel,Business,1727,1,1,4,4,5,satisfied
disloyal Customer,Business travel,Eco,1014,4,4,4,3,3,neutral or dissatisfied
disloyal Customer,Business travel,Eco,456,3,3,3,4,4,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,1598,2,2,2,2,2,neutral or dissatisfied
Loyal Customer,Business travel,Business,3261,3,3,5,4,5,satisfied
Loyal Customer,Personal Travel,Eco Plus,911,4,5,5,3,3,satisfied
Loyal Customer,Business travel,Business,373,1,4,5,5,4,satisfied
disloyal Customer,Business travel,Eco,474,0,1,1,5,5,satisfied
Loyal Customer,Personal Travel,Eco,1034,2,3,3,4,4,neutral or dissatisfied
Loyal Customer,Business travel,Business,1334,3,2,3,3,3,neutral or dissatisfied
Loyal Customer,Business travel,Business,3083,1,5,3,3,5,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,302,3,3,5,4,1,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,1999,5,5,4,2,2,satisfied
Loyal Customer,Business travel,Business,414,2,2,4,5,4,satisfied
Loyal Customer,Personal Travel,Eco,587,1,1,1,5,5,neutral or dissatisfied
Loyal Customer,Business travel,Business,1444,1,5,3,3,1,neutral or dissatisfied
Loyal Customer,Business travel,Business,3147,2,5,4,2,4,satisfied
disloyal Customer,Business travel,Eco,67,4,4,4,5,5,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,1491,3,3,3,1,1,neutral or dissatisfied
Loyal Customer,Business travel,Business,895,1,5,4,4,4,satisfied
Loyal Customer,Business travel,Business,2012,1,1,1,4,4,satisfied
disloyal Customer,Business travel,Eco,867,4,5,5,2,2,neutral or dissatisfied
Loyal Customer,Business travel,Business,3973,3,3,4,4,3,satisfied
Loyal Customer,Business travel,Eco Plus,641,4,4,4,1,4,neutral or dissatisfied
disloyal Customer,Business travel,Eco,447,4,4,4,5,5,neutral or dissatisfied
Loyal Customer,Business travel,Business,1759,4,3,4,4,5,satisfied
Loyal Customer,Personal Travel,Eco,599,3,4,4,5,5,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,1597,1,1,5,4,3,neutral or dissatisfied
Loyal Customer,Business travel,Eco,743,5,4,5,5,5,satisfied
Loyal Customer,Personal Travel,Eco,364,3,5,5,1,1,neutral or dissatisfied
Loyal Customer,Business travel,Business,1620,1,1,4,4,4,satisfied
Loyal Customer,Business travel,Business,820,2,3,2,1,4,satisfied
Loyal Customer,Personal Travel,Eco,283,4,2,2,1,1,neutral or dissatisfied
Loyal Customer,Business travel,Business,141,1,3,3,2,5,satisfied
Loyal Customer,Business travel,Business,965,1,1,4,4,4,satisfied
disloyal Customer,Business travel,Eco,1272,1,1,1,2,1,neutral or dissatisfied
Loyal Customer,Business travel,Business,3133,1,5,4,4,1,neutral or dissatisfied
Loyal Customer,Business travel,Business,2740,5,5,4,4,5,satisfied
Loyal Customer,Personal Travel,Eco,700,2,1,1,2,2,neutral or dissatisfied
Loyal Customer,Business travel,Business,2187,2,2,5,4,4,satisfied
Loyal Customer,Personal Travel,Eco,235,2,2,2,4,4,neutral or dissatisfied
Loyal Customer,Business travel,Business,2002,3,3,4,2,5,satisfied
disloyal Customer,Business travel,Eco Plus,611,3,3,3,5,5,neutral or dissatisfied
disloyal Customer,Business travel,Eco,1009,2,2,2,5,5,neutral or dissatisfied
disloyal Customer,Business travel,Eco,349,0,0,0,2,2,satisfied
Loyal Customer,Business travel,Business,2870,5,5,4,5,4,satisfied
Loyal Customer,Business travel,Business,1391,2,2,4,4,5,satisfied
Loyal Customer,Business travel,Business,3073,4,4,5,4,4,satisfied
Loyal Customer,Business travel,Eco,406,4,3,4,4,4,neutral or dissatisfied
Loyal Customer,Business travel,Business,3214,2,5,3,2,2,neutral or dissatisfied
Loyal Customer,Business travel,Business,3434,3,2,2,3,3,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,546,1,1,1,5,5,neutral or dissatisfied
Loyal Customer,Business travel,Business,1623,4,4,5,4,5,satisfied
Loyal Customer,Business travel,Business,546,3,3,5,4,5,satisfied
disloyal Customer,Business travel,Business,678,1,1,1,2,2,neutral or dissatisfied
Loyal Customer,Business travel,Business,680,4,4,5,5,4,satisfied
disloyal Customer,Business travel,Business,1086,5,5,5,3,4,satisfied
Loyal Customer,Business travel,Business,1991,1,4,4,4,4,satisfied
Loyal Customer,Personal Travel,Eco,82,3,3,5,4,4,neutral or dissatisfied
Loyal Customer,Business travel,Business,862,2,2,5,4,2,satisfied
disloyal Customer,Business travel,Eco,372,4,3,3,5,5,neutral or dissatisfied
Loyal Customer,Business travel,Business,163,1,1,5,4,5,satisfied
Loyal Customer,Business travel,Business,1205,4,4,4,5,4,satisfied
Loyal Customer,Personal Travel,Eco,2419,2,2,2,3,3,neutral or dissatisfied
disloyal Customer,Business travel,Business,2556,4,4,4,3,3,neutral or dissatisfied
Loyal Customer,Business travel,Eco,526,4,4,4,4,4,satisfied
Loyal Customer,Business travel,Eco,1076,4,2,4,4,4,satisfied
Loyal Customer,Business travel,Business,650,3,3,5,4,5,satisfied
Loyal Customer,Personal Travel,Eco,1014,2,2,2,1,1,neutral or dissatisfied
Loyal Customer,Personal Travel,Business,293,1,1,5,5,2,neutral or dissatisfied
Loyal Customer,Business travel,Business,3426,2,2,5,5,3,satisfied
Loyal Customer,Business travel,Business,1464,3,5,3,3,3,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,495,3,4,4,4,4,neutral or dissatisfied
Loyal Customer,Business travel,Eco,116,2,5,2,1,1,satisfied
Loyal Customer,Personal Travel,Eco,1089,5,5,5,2,2,satisfied
disloyal Customer,Business travel,Eco,733,2,2,2,1,2,neutral or dissatisfied
Loyal Customer,Business travel,Eco Plus,190,2,3,2,2,2,satisfied
Loyal Customer,Personal Travel,Eco,795,3,3,4,4,2,neutral or dissatisfied
Loyal Customer,Business travel,Business,3251,2,2,4,4,5,satisfied
Loyal Customer,Business travel,Business,852,2,2,4,3,3,satisfied
Loyal Customer,Business travel,Business,2562,1,1,4,4,4,satisfied
Loyal Customer,Personal Travel,Eco,2475,1,1,1,2,2,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,551,3,3,3,5,5,neutral or dissatisfied
Loyal Customer,Personal Travel,Business,332,3,3,3,4,4,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,1259,3,3,3,3,3,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,347,2,2,2,3,3,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,113,3,3,3,4,3,neutral or dissatisfied
Loyal Customer,Business travel,Eco Plus,420,4,1,4,4,4,satisfied
Loyal Customer,Business travel,Business,2360,0,0,5,5,4,satisfied
Loyal Customer,Business travel,Business,308,3,3,5,4,4,satisfied
Loyal Customer,Business travel,Business,3483,4,4,5,4,5,satisfied
Loyal Customer,Business travel,Business,1399,2,2,5,5,4,satisfied
Loyal Customer,Business travel,Eco,679,4,1,4,4,4,satisfied
Loyal Customer,Business travel,Business,3926,5,5,5,5,5,satisfied
Loyal Customer,Business travel,Business,2147,3,3,5,5,5,satisfied
Loyal Customer,Business travel,Business,2650,1,1,4,5,5,satisfied
Loyal Customer,Business travel,Business,102,1,1,4,5,4,satisfied
Loyal Customer,Business travel,Business,544,4,4,5,4,4,satisfied
Loyal Customer,Business travel,Business,307,2,2,5,4,5,satisfied
Loyal Customer,Business travel,Business,308,3,3,4,1,4,satisfied
Loyal Customer,Business travel,Eco,1250,1,1,1,5,1,neutral or dissatisfied
Loyal Customer,Business travel,Business,2134,1,1,2,3,4,satisfied
Loyal Customer,Business travel,Business,3631,2,3,4,4,2,neutral or dissatisfied
Loyal Customer,Business travel,Business,2943,1,1,4,4,4,satisfied
Loyal Customer,Personal Travel,Business,1337,3,3,3,4,3,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,618,3,2,5,5,1,neutral or dissatisfied
Loyal Customer,Personal Travel,Eco,238,4,4,3,3,5,neutral or dissatisfied
Loyal Customer,Business travel,Business,2493,2,3,3,3,2,neutral or dissatisfied
